case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
0,evals_hard,False,MISMATCH,Chess,Identify games with rating mismatches (Elo difference > 400 points) that should be weighted 0.5x in opening analysis.,"SELECT g.game_id, g.white, g.black, g.whiteElo, g.BlackElo, ABS(g.whiteElo - g.BlackElo) as elo_diff, o.name as opening FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL AND ABS(g.whiteElo - g.BlackElo) > 400 AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%'","SELECT game_id,
       white,
       black,
       whiteElo,
       BlackElo,
       ABS(whiteElo - BlackElo) AS elo_diff,
       0.5 AS weight
FROM Chess.game
WHERE whiteElo IS NOT NULL
  AND BlackElo IS NOT NULL
  AND ABS(whiteElo - BlackElo) > 400",Results do not match,13.307150416076183
1,evals_hard,False,MISMATCH,lahman_2014,"Find the top 50 non-reliever pitchers by ERA (Earned Run Average). Show the player's first and last name, the year, the innings pitched, and the ERA.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) as ERA FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY ERA ASC LIMIT 50","SELECT pl.nameFirst, pl.nameLast, p.yearID, p.IPouts/3.0 AS inningsPitched, p.ERA
FROM lahman_2014.pitching p
JOIN lahman_2014.players pl ON p.playerID = pl.playerID
WHERE p.GS > 0
ORDER BY p.ERA ASC
LIMIT 50;",Results do not match,19.828311000019312
2,evals_hard,False,SQL_ERROR,ErgastF1,Find the top 30 constructors with the highest number of races where at least two cars started.,"SELECT c.name as constructor, COUNT(DISTINCT r1.raceId) as races_at_least_two_started FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.resultId < r2.resultId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId WHERE r1.grid > 0 AND r2.grid > 0 GROUP BY c.constructorId, c.name ORDER BY races_at_least_two_started DESC LIMIT 30","WITH races_with_2plus AS (
  SELECT raceId
  FROM f1.results
  WHERE grid > 0
  GROUP BY raceId
  HAVING COUNT(DISTINCT driverId) >= 2
)
SELECT c.constructorId,
       c.name,
       COUNT(DISTINCT r.raceId) AS race_count
FROM f1.results r
JOIN f1.constructors c ON r.constructorId = c.constructorId
WHERE r.grid > 0
  AND r.raceId IN (SELECT raceId FROM races_with_2plus)
GROUP BY c.constructorId, c.name
ORDER BY race_count DESC
LIMIT 30;","Submitted query execution failed: DuckDB error: Catalog Error: Table with name results does not exist!
Did you mean ""ErgastF1.results""?

LINE 3:   FROM f1.results
               ^",12.076085333712399
3,evals_hard,False,MISMATCH,lahman_2014,Find the names and years of the top 50 Hall of Fame players by career hits.,"SELECT p.nameFirst, p.nameLast, h.yearID as inducted_year, sum(b.H) as career_hits FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID JOIN lahman_2014.batting b ON p.playerID = b.playerID WHERE h.inducted = 'Y' AND h.category = 'Player' GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID HAVING SUM(b.AB) >= 100 ORDER BY career_hits DESC LIMIT 50","SELECT p.nameFirst || ' ' || p.nameLast AS name,
       h.yearID AS induction_year,
       SUM(b.H) AS career_hits
FROM lahman_2014.players p
JOIN lahman_2014.halloffame h ON p.hofID = h.hofID
JOIN lahman_2014.batting b ON p.playerID = b.playerID
WHERE h.inducted = 'Y' AND h.category = 'Player'
GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID
ORDER BY career_hits DESC
LIMIT 50;",Results do not match,21.88712204154581
4,evals_hard,False,SQL_ERROR,employee,How many employees are part of the 'legacy workforce'?,SELECT COUNT(*) as legacy_workforce_count FROM employee.employees WHERE hire_date < '1990-01-01',SELECT COUNT(*) AS legacy_employee_count FROM employee.employee WHERE hire_date < DATE '1990-01-01';,"Submitted query execution failed: DuckDB error: Catalog Error: Table with name employee does not exist!
Did you mean ""pubs.employee""?

LINE 1: SELECT COUNT(*) AS legacy_employee_count FROM employee.employee WHERE hire_date < DATE '1990-01-01';
                                                      ^",10.179371582344174
5,evals_hard,False,MISMATCH,Airline,What is the on-time performance percentage for each unique airline carrier? Round the percentage to 2 decimal places.,"SELECT UniqueCarrier, ROUND((SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)), 2) as on_time_percentage FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Diverted = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT UniqueCarrier,
       ROUND(100.0 * SUM(CASE WHEN Cancelled = 0 AND DepTime IS NOT NULL AND ArrTime IS NOT NULL AND ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) / COUNT(*), 2) AS on_time_perc
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE (WeatherDelay IS NULL OR WeatherDelay = 0)
GROUP BY UniqueCarrier
ORDER BY UniqueCarrier",Results do not match,22.657112042419612
6,evals_hard,False,MISMATCH,Credit,Calculate the average transaction value.,SELECT AVG(charge_amt) as avg_transaction_value FROM Credit.charge WHERE charge_amt >= 5 AND charge_amt != 0.01 AND charge_code != 'RF',SELECT AVG(charge_amt) AS avg_transaction_value FROM Credit.charge WHERE charge_amt IS NOT NULL,Results do not match,14.710773083381355
7,evals_hard,False,MISMATCH,Chess,"Calculate win rates for White players (with at least 5 games). Return the 30 players with the highest win rates, ordered by win rate descending.","SELECT g.white as player, CAST(SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as win_rate FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY g.white HAVING COUNT(*) >= 5 ORDER BY win_rate DESC LIMIT 30","SELECT white AS player,
       COUNT(*) AS total_games,
       SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END) AS white_wins,
       CAST(SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END) AS DOUBLE) / COUNT(*) AS win_rate
FROM Chess.game
WHERE white IS NOT NULL
GROUP BY white
HAVING COUNT(*) >= 5
ORDER BY win_rate DESC
LIMIT 30",Results do not match,11.350387792102993
8,evals_hard,True,NONE,lahman_2014,"Find the top 8 pitchers by WHIP. Show the player's first and last name, the year, the innings pitched, and the WHIP.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.BB + pi.H) / (pi.IPouts / 3.0) as WHIP FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY WHIP ASC LIMIT 8","SELECT pl.nameFirst AS first_name, pl.nameLast AS last_name, p.yearID AS year,
       (p.IPouts/3.0) AS innings_pitched,
       ((p.BB + p.H) / (p.IPouts/3.0)) AS WHIP
FROM lahman_2014.pitching p
JOIN lahman_2014.players pl ON p.playerID = pl.playerID
WHERE (p.IPouts/3.0) >= 50
ORDER BY WHIP ASC
LIMIT 8",,14.696865333244205
9,evals_hard,False,MISMATCH,Chess,What are the top three openings by games played? Count games separately for each opening_id (do not deduplicate by name).,"SELECT o.name as opening_name, COUNT(*) as game_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY game_count DESC LIMIT 3","SELECT g.opening_id, COUNT(*) AS games_played
FROM Chess.game AS g
JOIN Chess.opening AS o ON g.opening_id = o.opening_id
WHERE LOWER(o.name) NOT LIKE '%french defense%'
  AND LOWER(o.name) NOT LIKE '%sicilian defense%'
GROUP BY g.opening_id
ORDER BY games_played DESC
LIMIT 3",Results do not match,13.478993957862258
