case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
0,evals_hard,True,NONE,ErgastF1,ErgastF1.constructors|ErgastF1.races|ErgastF1.results,True,True,,find_schema → describe(ErgastF1.constructors) → run_sql → submit,"List each constructor-season combination where the constructor scored more than 100 total points, for seasons after when points systems became comparable. Show the constructor name, year, and total points. Aggregate points from individual race results.","SELECT c.name AS constructor, ra.year, SUM(r.points) AS total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE ra.year >= 2010 AND r.position IS NOT NULL AND r.position > 0 GROUP BY c.constructorId, c.name, ra.year HAVING SUM(r.points) > 100","SELECT c.name AS constructor_name, r.year, SUM(res.points) AS total_points
FROM ErgastF1.results AS res
JOIN ErgastF1.constructors AS c ON res.constructorId = c.constructorId
JOIN ErgastF1.races AS r ON res.raceId = r.raceId
WHERE r.year >= 2010
GROUP BY c.name, r.year
HAVING SUM(res.points) > 100
ORDER BY r.year, total_points DESC;",,6.218061249703169
1,evals_hard,True,NONE,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → describe(ErgastF1.drivers) → run_sql → submit,"Find the top 30 F1 drivers (first name and last name) by race completion rate, only including drivers with at least 50 race starts. Include total races, completed races, and completion rate.","SELECT d.forename, d.surname, COUNT(*) as total_races, SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) as completed_races, CAST(SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as completion_rate FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) >= 50 ORDER BY completion_rate DESC LIMIT 30","SELECT d.forename AS first_name,
       d.surname AS last_name,
       COUNT(r.raceId) AS total_races,
       SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS completed_races,
       SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END)::DOUBLE / COUNT(r.raceId) AS completion_rate
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
GROUP BY d.driverId, d.forename, d.surname
HAVING COUNT(r.raceId) >= 50
ORDER BY completion_rate DESC
LIMIT 30;",,6.458760624751449
2,evals_hard,True,NONE,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → describe(ErgastF1.drivers) → run_sql → submit,Find the top 3 F1 rookie drivers ordered by their start count (highest first) then surname (descending).,"SELECT d.forename, d.surname, COUNT(*) as career_starts FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) < 20 ORDER BY career_starts DESC, d.surname DESC LIMIT 3","WITH rookie_counts AS (
 SELECT r.driverId, COUNT(DISTINCT r.raceId) AS start_count
 FROM ErgastF1.results r
 GROUP BY r.driverId
 HAVING COUNT(DISTINCT r.raceId) < 20
)
SELECT d.driverId, d.forename, d.surname, rc.start_count
FROM rookie_counts rc
JOIN ErgastF1.drivers d ON rc.driverId = d.driverId
ORDER BY rc.start_count DESC, d.surname DESC
LIMIT 3;",,7.16349979210645
3,evals_hard,False,MISMATCH,financial,financial.account|financial.district|financial.loan,True,True,,find_schema → run_sql → submit,What is the total amount of performing loans by district name?,"SELECT d.A2 as district_name, SUM(l.amount) as total_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE l.status = 'A' AND d.district_id != 1 GROUP BY d.A2","WITH qualifying AS (
  SELECT district_id
  FROM financial.account
  GROUP BY district_id
  HAVING COUNT(account_id) >= 50
),
performing_loans AS (
  SELECT l.amount, a.district_id
  FROM financial.loan l
  JOIN financial.account a ON l.account_id = a.account_id
  WHERE l.status = 'A'
)
SELECT
  CASE
    WHEN pl.district_id = 1 THEN d.A2
    WHEN pl.district_id BETWEEN 70 AND 77 THEN 'Eastern Region'
    WHEN pl.district_id IN (SELECT district_id FROM qualifying) THEN d.A2
    ELSE 'Other'
  END AS district_name,
  SUM(pl.amount) AS total_performing_loan_amount
FROM performing_loans pl
LEFT JOIN financial.district d ON pl.district_id = d.district_id
GROUP BY 1
ORDER BY district_name;",Results do not match,7.585033459588885
4,evals_hard,True,NONE,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"Show carrier performance with counts of on-time, moderately delayed, and severely delayed flights.","SELECT UniqueCarrier, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time, SUM(CASE WHEN ArrDelayMinutes > 15 AND ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) as moderate_delays, SUM(CASE WHEN ArrDelayMinutes > 180 THEN 1 ELSE 0 END) as severe_delays FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT c.Code AS Carrier,
       c.Description AS CarrierName,
       SUM(CASE WHEN f.ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) AS OnTimeCount,
       SUM(CASE WHEN f.ArrDelayMinutes > 15 AND f.ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) AS ModerateDelayCount,
       SUM(CASE WHEN f.ArrDelayMinutes > 180 THEN 1 ELSE 0 END) AS SevereDelayCount
FROM Airline.On_Time_On_Time_Performance_2016_1 f
JOIN Airline.L_UNIQUE_CARRIERS c ON f.UniqueCarrier = c.Code
WHERE f.DepTime IS NOT NULL AND f.ArrTime IS NOT NULL
  AND (f.WeatherDelay IS NULL OR f.WeatherDelay = 0)
GROUP BY c.Code, c.Description
ORDER BY c.Code",,6.4825475830584764
5,evals_hard,False,MISMATCH,Credit,Credit.charge,False,False,,find_schema → run_sql → describe(ccs.transactions) → describe(ccs.transactions_1k) → run_sql → run_sql → run_sql → submit,Calculate the average transaction value.,SELECT AVG(charge_amt) as avg_transaction_value FROM Credit.charge WHERE charge_amt >= 5 AND charge_amt != 0.01 AND charge_code != 'RF',SELECT AVG(Price) AS average_transaction_value FROM ccs.transactions_1k,Results do not match,14.565159666351974
6,evals_hard,False,MISMATCH,world,world.City|world.Country,True,True,,find_schema → describe(world.City) → describe(world.Country) → run_sql → run_sql → submit,List major cities along with their country information.,"SELECT ci.Name as city_name, ci.Population, co.Name as country_name, co.Continent, co.Region FROM world.City ci JOIN world.Country co ON ci.CountryCode = co.Code WHERE ci.Population > 2000000","SELECT cy.Name AS City,
       cy.Population AS CityPopulation,
       c.Name AS Country,
       c.Code AS CountryCode,
       c.Continent,
       c.Region,
       c.Population AS CountryPopulation,
       c.SurfaceArea,
       c.LifeExpectancy,
       c.GNP
FROM world.City AS cy
LEFT JOIN world.Country AS c ON cy.CountryCode = c.Code
WHERE cy.Population >= 1000000
ORDER BY cy.Population DESC",Results do not match,7.526190875098109
7,evals_hard,True,NONE,ErgastF1,ErgastF1.constructors|ErgastF1.races|ErgastF1.results,True,True,,find_schema → describe(ErgastF1.constructors) → run_sql → submit,Calculate total points by constructor and year for each season from when points systems became comparable.,"SELECT c.name as constructor_name, ra.year, SUM(r.points) as total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE r.position IS NOT NULL AND r.position > 0 AND ra.year >= 2010 GROUP BY c.constructorId, c.name, ra.year","SELECT c.name AS constructor, r.year, SUM(res.points) AS total_points
FROM ErgastF1.results res
JOIN ErgastF1.constructors c ON res.constructorId = c.constructorId
JOIN ErgastF1.races r ON res.raceId = r.raceId
WHERE r.year >= 2010
GROUP BY c.name, r.year
ORDER BY r.year, total_points DESC",,7.0601317919790745
8,evals_hard,True,NONE,CraftBeer,CraftBeer.beers,True,True,,find_schema → run_sql → submit,Count the number of beers missing IBU data that should be flagged for data quality analysis.,SELECT COUNT(*) as missing_ibu_count FROM CraftBeer.beers b WHERE b.ibu IS NULL,SELECT COUNT(*) AS missing_ibu_count FROM CraftBeer.beers WHERE ibu IS NULL,,3.365926125086844
9,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → describe(CraftBeer.beers) → describe(CraftBeer.breweries) → run_sql → run_sql → submit,"Find the top 50 session beers by ABV. Note: ABV is stored as a decimal (e.g., 0.05 for 5%). I'd like to see their name, abv, style, and brewery name.","SELECT b.name as beer_name, b.abv, b.style, br.name as brewery FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv < 0.05 AND b.abv IS NOT NULL ORDER BY b.abv DESC LIMIT 50","SELECT b.name AS beer_name,
       b.abv,
       b.style,
       br.name AS brewery_name
FROM CraftBeer.beers b
LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.abv <= 0.05
ORDER BY b.abv DESC
LIMIT 50",,6.564593667164445
